iter	Passed	Remaining
0	16	16760
1	17	8935
2	18	6289
3	19	4958
4	20	4155
5	22	3687
6	23	3393
7	25	3208
8	27	3026
9	28	2870
10	30	2743
11	31	2632
12	33	2515
13	34	2423
14	37	2437
15	39	2409
16	40	2341
17	41	2285
18	43	2231
19	44	2179
20	45	2135
21	47	2094
22	48	2056
23	49	2030
24	53	2104
25	56	2115
26	57	2086
27	59	2060
28	60	2029
29	62	2009
30	66	2064
31	70	2130
32	72	2135
33	74	2108
34	75	2086
35	77	2077
36	80	2095
37	82	2081
38	83	2061
39	86	2064
40	87	2047
41	89	2034
42	90	2018
43	93	2029
44	94	2015
45	96	1998
46	97	1981
47	98	1962
48	100	1942
49	101	1927
50	102	1910
51	103	1892
52	105	1882
53	108	1894
54	109	1888
55	111	1879
56	113	1870
57	114	1863
58	116	1854
59	117	1843
60	119	1834
61	122	1846
62	123	1838
63	125	1831
64	126	1821
65	127	1809
66	129	1798
67	130	1787
68	133	1800
69	135	1806
70	137	1800
71	139	1792
72	140	1781
73	141	1769
74	142	1762
75	144	1758
76	146	1751
77	147	1742
78	148	1733
79	150	1736
80	152	1735
81	154	1729
82	155	1715
83	156	1708
84	158	1705
85	160	1700
86	161	1694
87	162	1688
88	164	1687
89	166	1683
90	168	1679
91	170	1678
92	171	1675
93	173	1669
94	174	1662
95	175	1656
96	178	1659
97	179	1653
98	180	1646
99	182	1638
100	183	1632
101	184	1624
102	185	1615
103	186	1607
104	187	1598
105	188	1588
106	189	1580
107	190	1572
108	192	1574
109	193	1568
110	194	1561
111	195	1553
112	196	1545
113	198	1541
114	199	1535
115	200	1530
116	201	1521
117	202	1514
118	203	1506
119	204	1499
120	206	1500
121	207	1494
122	208	1487
123	209	1481
124	210	1475
125	212	1470
126	213	1464
127	214	1458
128	215	1453
129	216	1448
130	217	1442
131	218	1436
132	220	1435
133	221	1432
134	222	1426
135	224	1427
136	226	1429
137	229	1431
138	230	1426
139	231	1421
140	232	1415
141	233	1408
142	234	1407
143	236	1403
144	238	1404
145	240	1406
146	241	1404
147	243	1402
148	245	1400
149	246	1396
150	249	1402
151	251	1400
152	252	1398
153	254	1395
154	255	1391
155	256	1385
156	257	1380
157	258	1375
158	259	1371
159	260	1366
160	260	1359
161	262	1358
162	263	1354
163	265	1352
164	266	1350
165	268	1347
166	269	1343
167	270	1339
168	271	1336
169	272	1332
170	274	1328
171	276	1329
172	277	1326
173	278	1322
174	279	1318
175	280	1314
176	282	1311
177	283	1308
178	284	1304
179	285	1301
180	286	1298
181	289	1302
182	291	1300
183	292	1296
184	293	1293
185	294	1290
186	296	1289
187	297	1285
188	298	1281
189	299	1277
190	300	1272
191	301	1268
192	304	1271
193	305	1269
194	307	1269
195	309	1267
196	310	1264
197	311	1261
198	312	1259
199	314	1256
200	315	1253
201	318	1256
202	320	1256
203	321	1253
204	322	1251
205	323	1248
206	325	1245
207	326	1243
208	327	1240
209	329	1239
210	332	1242
211	333	1241
212	335	1239
213	336	1237
214	338	1235
215	339	1233
216	341	1231
217	342	1229
218	344	1227
219	346	1228
220	349	1232
221	352	1235
222	354	1234
223	355	1232
224	357	1230
225	360	1234
226	362	1235
227	364	1234
228	366	1232
229	367	1230
230	369	1228
231	370	1226
232	371	1223
233	374	1225
234	376	1225
235	377	1223
236	379	1220
237	380	1218
238	381	1215
239	382	1212
240	384	1210
241	385	1208
242	386	1205
243	389	1206
244	390	1204
245	392	1201
246	393	1199
247	394	1196
248	396	1194
249	397	1192
250	400	1194
251	403	1199
252	405	1198
253	407	1196
254	408	1193
255	409	1191
256	411	1189
257	413	1189
258	419	1200
259	421	1198
260	422	1197
261	424	1194
262	425	1192
263	426	1190
264	428	1188
265	430	1188
266	432	1187
267	433	1185
268	436	1185
269	438	1184
270	439	1181
271	440	1179
272	442	1177
273	444	1176
274	445	1174
275	446	1172
276	447	1169
277	449	1166
278	450	1163
279	451	1160
280	452	1158
281	454	1158
282	456	1156
283	458	1155
284	459	1153
285	461	1151
286	462	1148
287	463	1146
288	464	1143
289	467	1143
290	468	1141
291	469	1139
292	473	1143
293	475	1141
294	476	1138
295	477	1136
296	479	1134
297	480	1131
298	481	1129
299	482	1126
300	484	1123
301	485	1122
302	487	1121
303	488	1118
304	489	1116
305	491	1113
306	492	1112
307	494	1111
308	496	1109
309	497	1107
310	499	1105
311	501	1106
312	502	1103
313	504	1101
314	505	1100
315	507	1097
316	508	1095
317	509	1093
318	510	1090
319	512	1088
320	514	1088
321	516	1086
322	517	1085
323	520	1085
324	521	1083
325	523	1081
326	524	1079
327	525	1077
328	528	1076
329	529	1075
330	531	1074
331	532	1072
332	534	1069
333	535	1067
334	536	1065
335	537	1062
336	539	1061
337	540	1059
338	542	1058
339	545	1059
340	546	1057
341	548	1055
342	549	1053
343	551	1051
344	552	1048
345	553	1046
346	554	1043
347	556	1042
348	557	1040
349	559	1038
350	560	1036
351	561	1033
352	562	1030
353	563	1028
354	564	1025
355	565	1022
356	566	1020
357	567	1017
358	568	1015
359	571	1015
360	573	1014
361	574	1012
362	575	1010
363	576	1008
364	577	1005
365	578	1002
366	579	1000
367	580	997
368	581	994
369	583	993
370	586	994
371	588	994
372	590	993
373	592	991
374	593	989
375	595	988
376	597	986
377	598	985
378	600	983
379	601	982
380	604	982
381	605	980
382	607	978
383	608	976
384	610	974
385	613	976
386	615	974
387	616	972
388	617	970
389	619	968
390	620	967
391	622	965
392	623	962
393	624	961
394	626	960
395	628	958
396	630	957
397	632	956
398	633	954
399	635	952
400	640	956
401	641	955
402	643	953
403	645	952
404	647	950
405	648	948
406	649	946
407	650	944
408	652	943
409	655	943
410	657	941
411	658	939
412	659	937
413	661	935
414	662	933
415	663	931
416	665	931
417	668	930
418	669	929
419	671	927
420	672	925
421	674	923
422	675	921
423	676	919
424	678	918
425	680	916
426	681	914
427	683	913
428	685	912
429	686	910
430	688	909
431	690	907
432	691	905
433	692	903
434	694	901
435	695	900
436	697	899
437	699	897
438	700	895
439	702	894
440	705	894
441	707	893
442	709	891
443	713	893
444	715	892
445	717	891
446	720	890
447	721	888
448	722	886
449	726	888
450	729	888
451	731	886
452	732	884
453	733	882
454	734	880
455	742	885
456	744	884
457	746	883
458	749	883
459	755	886
460	757	885
461	760	885
462	761	882
463	763	881
464	764	879
465	771	884
466	772	882
467	774	880
468	776	878
469	777	876
470	778	874
471	784	877
472	786	876
473	788	874
474	790	873
475	791	871
476	792	869
477	794	867
478	795	865
479	797	863
480	799	862
481	801	861
482	806	862
483	809	862
484	811	861
485	813	860
486	814	858
487	816	856
488	817	854
489	818	852
490	820	850
491	825	851
492	827	851
493	829	849
494	830	847
495	832	845
496	834	844
497	836	842
498	840	844
499	843	843
500	845	841
501	846	839
502	850	840
503	852	838
504	854	837
505	856	836
506	858	834
507	860	833
508	862	831
509	866	832
510	868	830
511	869	829
512	872	828
513	874	826
514	876	825
515	881	826
516	882	824
517	884	823
518	886	821
519	887	819
520	889	817
521	891	815
522	895	816
523	897	815
524	898	813
525	900	811
526	901	809
527	903	807
528	904	805
529	905	803
530	911	804
531	913	803
532	914	801
533	916	799
534	917	797
535	919	795
536	921	794
537	923	792
538	924	791
539	926	789
540	928	787
541	929	785
542	930	783
543	932	781
544	935	781
545	938	780
546	940	778
547	941	776
548	944	776
549	946	774
550	947	772
551	954	774
552	957	773
553	979	788
554	986	790
555	987	788
556	989	786
557	990	784
558	992	782
559	1000	786
560	1002	784
561	1004	782
562	1006	780
563	1008	779
564	1021	786
565	1024	785
566	1032	788
567	1034	787
568	1036	784
569	1038	783
570	1046	786
571	1051	786
572	1053	784
573	1061	788
574	1063	785
575	1065	784
576	1068	783
577	1072	782
578	1073	780
579	1081	783
580	1085	782
581	1088	781
582	1100	787
583	1109	790
584	1111	788
585	1112	786
586	1114	784
587	1117	782
588	1119	781
589	1124	781
590	1128	780
591	1132	780
592	1133	778
593	1135	775
594	1138	774
595	1140	773
596	1141	770
597	1145	770
598	1148	768
599	1149	766
600	1151	764
601	1153	762
602	1154	760
603	1162	761
604	1165	760
605	1166	758
606	1168	756
607	1169	754
608	1171	752
609	1176	751
610	1178	750
611	1179	748
612	1182	746
613	1183	744
614	1192	746
615	1194	744
616	1197	743
617	1199	741
618	1206	742
619	1208	740
620	1211	739
621	1213	737
622	1222	739
623	1228	739
624	1230	738
625	1233	737
626	1248	742
627	1254	743
628	1258	742
629	1274	748
630	1282	750
631	1285	748
632	1287	746
633	1288	744
634	1292	742
635	1302	745
636	1303	742
637	1313	745
638	1316	743
639	1318	741
640	1337	748
641	1366	762
642	1369	760
643	1387	766
644	1402	772
645	1413	774
646	1423	776
647	1426	775
648	1430	773
649	1432	771
650	1440	772
651	1446	772
652	1449	770
653	1456	770
654	1461	770
655	1470	771
656	1473	769
657	1480	769
658	1489	770
659	1490	767
660	1498	768
661	1501	766
662	1502	763
663	1507	762
664	1509	760
665	1511	758
666	1514	755
667	1515	753
668	1517	750
669	1523	750
670	1525	748
671	1527	745
672	1529	743
673	1531	740
674	1545	744
675	1556	745
676	1558	743
677	1559	740
678	1562	738
679	1567	737
680	1570	735
681	1574	734
682	1580	733
683	1583	731
684	1585	728
685	1587	726
686	1597	727
687	1601	726
688	1604	724
689	1606	721
690	1611	720
691	1614	718
692	1618	716
693	1629	718
694	1631	715
695	1634	713
696	1638	712
697	1644	711
698	1651	711
699	1655	709
700	1657	706
701	1659	704
702	1666	704
703	1668	701
704	1670	698
705	1672	696
706	1674	693
707	1679	692
708	1683	690
709	1685	688
710	1687	685
711	1689	683
712	1692	681
713	1694	678
714	1697	676
715	1699	674
716	1701	671
717	1712	672
718	1715	670
719	1722	669
720	1725	667
721	1728	665
722	1730	662
723	1734	661
724	1737	658
725	1738	656
726	1740	653
727	1742	651
728	1744	648
729	1748	646
730	1750	644
731	1751	641
732	1757	640
733	1759	637
734	1760	634
735	1763	632
736	1765	629
737	1766	627
738	1768	624
739	1770	621
740	1771	619
741	1773	616
742	1781	616
743	1783	613
744	1784	610
745	1786	608
746	1787	605
747	1788	602
748	1790	599
749	1793	597
750	1795	595
751	1796	592
752	1797	589
753	1799	586
754	1800	584
755	1802	581
756	1803	579
757	1806	576
758	1808	574
759	1810	571
760	1811	568
761	1813	566
762	1814	563
763	1816	561
764	1817	558
765	1820	556
766	1822	553
767	1823	550
768	1824	548
769	1825	545
770	1827	542
771	1829	540
772	1830	537
773	1832	535
774	1835	533
775	1837	530
776	1839	527
777	1841	525
778	1843	522
779	1844	520
780	1845	517
781	1847	514
782	1850	512
783	1851	510
784	1852	507
785	1854	504
786	1855	502
787	1856	499
788	1857	496
789	1859	494
790	1860	491
791	1864	489
792	1867	487
793	1868	484
794	1869	482
795	1871	479
796	1872	476
797	1873	474
798	1874	471
799	1879	469
800	1882	467
801	1883	465
802	1885	462
803	1886	459
804	1887	457
805	1889	454
806	1894	453
807	1895	450
808	1898	448
809	1899	445
810	1900	442
811	1902	440
812	1903	437
813	1904	435
814	1908	433
815	1909	430
816	1911	428
817	1912	425
818	1913	422
819	1915	420
820	1917	418
821	1922	416
822	1925	414
823	1926	411
824	1928	409
825	1929	406
826	1935	404
827	1936	402
828	1938	399
829	1939	397
830	1941	394
831	1942	392
832	1943	389
833	1945	387
834	1946	384
835	1950	382
836	1951	380
837	1953	377
838	1954	375
839	1956	372
840	1958	370
841	1960	367
842	1961	365
843	1964	363
844	1965	360
845	1966	358
846	1968	355
847	1969	353
848	1971	350
849	1972	348
850	1974	345
851	1977	343
852	1978	341
853	1980	338
854	1981	336
855	1983	333
856	1984	331
857	1985	328
858	1987	326
859	1988	323
860	1989	321
861	1992	318
862	1993	316
863	1994	313
864	1996	311
865	1997	309
866	1999	306
867	2000	304
868	2001	301
869	2002	299
870	2005	297
871	2006	294
872	2008	292
873	2009	289
874	2011	287
875	2012	284
876	2013	282
877	2015	279
878	2016	277
879	2017	275
880	2019	272
881	2021	270
882	2022	267
883	2024	265
884	2025	263
885	2026	260
886	2027	258
887	2028	255
888	2029	253
889	2031	251
890	2033	248
891	2035	246
892	2038	244
893	2039	241
894	2041	239
895	2042	237
896	2043	234
897	2046	232
898	2049	230
899	2051	227
900	2052	225
901	2053	223
902	2057	221
903	2059	218
904	2061	216
905	2062	214
906	2064	211
907	2066	209
908	2067	207
909	2069	204
910	2075	202
911	2077	200
912	2079	198
913	2080	195
914	2082	193
915	2083	191
916	2085	188
917	2089	186
918	2090	184
919	2091	181
920	2093	179
921	2094	177
922	2096	174
923	2097	172
924	2099	170
925	2100	167
926	2103	165
927	2105	163
928	2106	160
929	2107	158
930	2108	156
931	2110	153
932	2111	151
933	2113	149
934	2114	146
935	2117	144
936	2118	142
937	2120	140
938	2121	137
939	2122	135
940	2124	133
941	2126	130
942	2127	128
943	2129	126
944	2131	124
945	2133	121
946	2134	119
947	2135	117
948	2137	114
949	2138	112
950	2140	110
951	2141	107
952	2143	105
953	2144	103
954	2145	101
955	2147	98
956	2148	96
957	2149	94
958	2150	91
959	2152	89
960	2153	87
961	2154	85
962	2155	82
963	2158	80
964	2159	78
965	2161	76
966	2163	73
967	2164	71
968	2166	69
969	2168	67
970	2169	64
971	2172	62
972	2173	60
973	2174	58
974	2176	55
975	2177	53
976	2178	51
977	2179	49
978	2181	46
979	2182	44
980	2183	42
981	2185	40
982	2186	37
983	2189	35
984	2191	33
985	2192	31
986	2194	28
987	2196	26
988	2200	24
989	2201	22
990	2203	20
991	2204	17
992	2206	15
993	2207	13
994	2208	11
995	2209	8
996	2213	6
997	2215	4
998	2217	2
999	2218	0
